Type, Insertions, load, probeRate
l, 1, 0.001, 1
l, 11, 0.011, 1
l, 21, 0.021, 1
l, 31, 0.031, 1.03226
l, 41, 0.041, 1.02439
l, 51, 0.051, 1.01961
l, 61, 0.061, 1.04918
l, 71, 0.071, 1.01408
l, 81, 0.081, 1.02469
l, 91, 0.091, 1
l, 101, 0.101, 1.0297
l, 111, 0.111, 1.06306
l, 121, 0.121, 1.05785
l, 131, 0.131, 1.07634
l, 141, 0.141, 1.07092
l, 151, 0.151, 1.11921
l, 161, 0.161, 1.1118
l, 171, 0.171, 1.08772
l, 181, 0.181, 1.07735
l, 191, 0.191, 1.10995
l, 201, 0.201, 1.12438
l, 211, 0.211, 1.09953
l, 221, 0.221, 1.17647
l, 231, 0.231, 1.13853
l, 241, 0.241, 1.12448
l, 251, 0.251, 1.19522
l, 261, 0.261, 1.19923
l, 271, 0.271, 1.12915
l, 281, 0.281, 1.23843
l, 291, 0.291, 1.24055
l, 301, 0.301, 1.23256
l, 311, 0.311, 1.2283
l, 321, 0.321, 1.19315
l, 331, 0.331, 1.25982
l, 341, 0.341, 1.27273
l, 351, 0.351, 1.22222
l, 361, 0.361, 1.28809
l, 371, 0.371, 1.2938
l, 381, 0.381, 1.33071
l, 391, 0.391, 1.29923
l, 401, 0.401, 1.399
l, 411, 0.411, 1.31387
l, 421, 0.421, 1.39667
l, 431, 0.431, 1.38283
l, 441, 0.441, 1.29932
l, 451, 0.451, 1.4102
l, 461, 0.461, 1.39696
l, 471, 0.471, 1.38641
l, 481, 0.481, 1.4262
l, 491, 0.491, 1.37882
l, 501, 0.501, 1.51697
l, 511, 0.511, 1.48924
l, 521, 0.521, 1.46833
l, 531, 0.531, 1.44821
l, 541, 0.541, 1.36414
l, 551, 0.551, 1.51724
l, 561, 0.561, 1.50446
l, 571, 0.571, 1.57968
l, 581, 0.581, 1.58003
l, 591, 0.591, 1.59391
l, 601, 0.601, 1.55241
l, 611, 0.611, 1.59574
l, 621, 0.621, 1.65862
l, 631, 0.631, 1.55626
l, 641, 0.641, 1.69579
l, 651, 0.651, 1.66359
l, 661, 0.661, 1.76097
l, 671, 0.671, 1.66617
l, 681, 0.681, 1.77974
l, 691, 0.691, 1.77858
l, 701, 0.701, 1.94437
l, 711, 0.711, 1.95499
l, 721, 0.721, 1.86685
l, 731, 0.731, 1.81259
l, 741, 0.741, 1.97301
l, 751, 0.751, 2.02796
l, 761, 0.761, 1.86334
l, 771, 0.771, 2.131
l, 781, 0.781, 2.06146
l, 791, 0.791, 2.20101
l, 801, 0.801, 2.2397
l, 811, 0.811, 1.99753
l, 821, 0.821, 2.17174
l, 831, 0.831, 2.26233
l, 841, 0.841, 2.27943
l, 851, 0.851, 2.24207
l, 861, 0.861, 2.39373
l, 871, 0.871, 2.57979
l, 881, 0.881, 2.59705
l, 891, 0.891, 2.74299
l, 901, 0.901, 2.78801
l, 911, 0.911, 2.92975
l, 921, 0.921, 2.96091
l, 931, 0.931, 3.2782
l, 941, 0.941, 3.25292
l, 951, 0.951, 3.31546
l, 961, 0.961, 3.5744
l, 971, 0.971, 3.99588
l, 981, 0.981, 4.316
l, 991, 0.991, 4.06155
q, 1, 0.001, 1
q, 11, 0.011, 1
q, 21, 0.021, 1
q, 31, 0.031, 1
q, 41, 0.041, 1.02439
q, 51, 0.051, 1
q, 61, 0.061, 1.03279
q, 71, 0.071, 1.02817
q, 81, 0.081, 1.03704
q, 91, 0.091, 1.04396
q, 101, 0.101, 1.0297
q, 111, 0.111, 1.03604
q, 121, 0.121, 1.03306
q, 131, 0.131, 1.06107
q, 141, 0.141, 1.03546
q, 151, 0.151, 1.11258
q, 161, 0.161, 1.09938
q, 171, 0.171, 1.1345
q, 181, 0.181, 1.0442
q, 191, 0.191, 1.09424
q, 201, 0.201, 1.11443
q, 211, 0.211, 1.1327
q, 221, 0.221, 1.11765
q, 231, 0.231, 1.14286
q, 241, 0.241, 1.09544
q, 251, 0.251, 1.17131
q, 261, 0.261, 1.1954
q, 271, 0.271, 1.17343
q, 281, 0.281, 1.17082
q, 291, 0.291, 1.18213
q, 301, 0.301, 1.17608
q, 311, 0.311, 1.22508
q, 321, 0.321, 1.24922
q, 331, 0.331, 1.25982
q, 341, 0.341, 1.26686
q, 351, 0.351, 1.26496
q, 361, 0.361, 1.24931
q, 371, 0.371, 1.25337
q, 381, 0.381, 1.29134
q, 391, 0.391, 1.36317
q, 401, 0.401, 1.35411
q, 411, 0.411, 1.3163
q, 421, 0.421, 1.34204
q, 431, 0.431, 1.27378
q, 441, 0.441, 1.48073
q, 451, 0.451, 1.38359
q, 461, 0.461, 1.32755
q, 471, 0.471, 1.50318
q, 481, 0.481, 1.34304
q, 491, 0.491, 1.38086
q, 501, 0.501, 1.43114
q, 511, 0.511, 1.50685
q, 521, 0.521, 1.51631
q, 531, 0.531, 1.46516
